#,id,liczba_pasazerow,roznica_rek
914,2066769,2,250
915,2066772,2,250
916,2062585,2,250
917,2064491,2,250
918,2062647,2,250
919,2064575,2,250
920,2155854,1,125
921,2064700,2,250
922,2066870,2,250
923,2066935,2,250
924,2062896,2,250
925,2064772,2,250
926,2062916,2,250
927,2066965,2,250
928,2156146,1,125
929,2067029,2,250
930,2069611,2,250
931,2072814,2,250
932,2065206,2,250
933,2065230,3,500
934,2069620,2,250
935,2065288,1,125
936,2069801,2,250
937,2072831,2,250
938,2065301,2,250
939,2069747,2,250
940,2067122,2,250
941,2067133,2,250
942,2065313,2,250
943,2069917,2,250
944,2065324,2,250
945,2065332,2,250
946,2061967,1,350
947,2065343,2,250
948,2067204,2,250
949,2065423,1,350
950,2065437,2,250
951,2156188,1,125
952,2157834,1,125
953,2072976,2,250
954,2071359,2,600
955,2065663,2,250
956,2065648,2,250
957,2070136,2,250
958,2073015,2,250
959,2067490,2,250
960,2067507,2,250
961,2065738,2,250
962,2065843,2,250
963,2075462,1,125
964,2075526,1,125
965,2070528,2,250
966,2067985,2,250
967,2068079,2,250
968,2070629,2,250
969,2073179,2,250
970,2073170,2,250
971,2068093,2,250
972,2068291,2,250
973,2068588,3,550
974,2068594,2,250
975,2073311,2,250
976,2071125,2,250
977,2068721,2,250
978,2068813,2,250
979,2073336,2,250
980,2073363,2,250
981,2075797,1,125
982,2073345,2,250
983,2075805,1,125
984,2073531,2,250
985,2075815,1,125
986,2081823,1,125
987,2156463,1,125
988,2158120,1,125
989,2073545,5,800
990,2158135,8,112
991,2075825,1,125
992,2073553,2,250
993,2158266,1,125
994,2158393,1,125
995,2071637,2,250
996,2073629,2,250
997,2078511,1,200
998,2075856,1,50
999,2071842,2,250
1000,2073639,2,250
1001,2071852,2,250
1002,2085496,1,125
1003,2073652,2,250
1004,2078573,1,125
1005,2078669,2,250
1006,2075935,1,125
1007,2078658,1,125
1008,2075946,1,125
1009,2072338,2,250
1010,2072369,2,250
1011,2072297,2,250
1012,2073852,2,250
1013,2081911,1,125
1014,2076038,1,125
1015,2073866,2,250
1016,2073875,2,250
1017,2072566,2,250
1018,2076075,1,125
1019,2081946,1,125
1020,2078813,1,125
1021,2074074,2,250
1022,2076164,1,125
1023,2074187,1,125
1024,2079009,1,125
1025,2076179,1,125
1026,2074265,1,125
1027,2079042,1,125
1028,2076200,1,125
1029,2079249,1,125
1030,2079217,1,125
1031,2076212,1,125
1032,2076292,1,125
1033,2074292,1,125
1034,2076220,2,100
1035,2082186,1,125
1036,2079286,1,125
1037,2082300,1,125
1038,2074306,1,125
1039,2082203,1,125
1040,2071353,1,300
1041,2074500,1,125
1042,2079352,1,125
1043,2074639,1,125
1044,2076517,1,125
1045,2076538,1,125
1046,2074692,1,125
1047,2076509,1,125
1048,2076548,1,125
1049,2076583,1,125
1050,2076528,1,125
1051,2076563,1,125
1052,2085704,1,125
1053,2074727,1,125
1054,2082313,1,125
1055,2076593,1,125
1056,2076614,1,125
1057,2079762,1,125
1058,2074794,1,125
1059,2076820,1,125
1060,2074832,1,125
1061,2092473,1,125
1062,2082327,1,125
1063,2074848,1,125
1064,2082343,1,125
1065,2074857,1,125
1066,2074983,1,125
1067,2075106,1,125
1068,2077581,1,125
1069,2077518,1,125
1070,2077605,1,125
1071,2077590,1,125
1072,2080136,1,125
1073,2085812,1,125
1074,2080281,1,125
1075,2080148,1,125
1076,2080602,1,125
1077,2080704,1,125
1078,2080833,1,125
1079,2082728,1,125
1080,2080901,1,125
1081,2080871,1,125
1082,2082764,1,125
1083,2082894,1,125
1084,2080955,1,125
1085,2089395,1,125
1086,2081178,1,125
1087,2083188,1,125
1088,2081447,1,125
1089,2092587,1,125
1090,2081517,1,125
1091,2089653,1,125
1092,2083264,1,125
1093,2092608,1,125
1094,2086595,1,125
1095,2083427,1,125
1096,2048051,2,250
1097,2086547,1,125
1098,2083547,1,125
1099,2086718,1,125
1100,2086733,1,125
1101,2084249,1,125
1102,2086807,1,125
